ratiocoverage,guard_number,map_type,map_size,map_density
0.8488,10,maze,10000,0
0.0356,1,maze,10000,0
0.0989,2,maze,10000,0
0.196,3,maze,10000,0
0.2984,4,maze,10000,0
0.3796,5,maze,10000,0
0.4902,6,maze,10000,0
0.5757,7,maze,10000,0
0.6861,8,maze,10000,0
0.7393,9,maze,10000,0
0.8,10,maze,10000,0
0.0356,1,maze,10000,0
0.0907,2,maze,10000,0
0.1789,3,maze,10000,0
0.2728,4,maze,10000,0
0.4033,5,maze,10000,0
0.51,6,maze,10000,0
0.642,7,maze,10000,0
0.7413,8,maze,10000,0
0.8144,9,maze,10000,0
0.8501,10,maze,10000,0
0.0343,1,maze,10000,0
0.0819,2,maze,10000,0
0.168,3,maze,10000,0
0.2967,4,maze,10000,0
0.3923,5,maze,10000,0
0.5043,6,maze,10000,0
0.5938,7,maze,10000,0
0.728,8,maze,10000,0
0.7854,9,maze,10000,0
0.826,10,maze,10000,0
0.0356,1,maze,10000,0
0.0907,2,maze,10000,0
0.1713,3,maze,10000,0
0.2961,4,maze,10000,0
0.4376,5,maze,10000,0
0.5491,6,maze,10000,0
0.6539,7,maze,10000,0
0.74,8,maze,10000,0
0.8084,9,maze,10000,0
0.8682,10,maze,10000,0
0.0356,1,maze,10000,0
0.0913,2,maze,10000,0
0.1723,3,maze,10000,0
0.2535,4,maze,10000,0
0.357,5,maze,10000,0
0.4409,6,maze,10000,0
0.5304,7,maze,10000,0
0.6372,8,maze,10000,0
0.7253,9,maze,10000,0
0.7854,10,maze,10000,0
0.0356,1,maze,10000,0
0.0933,2,maze,10000,0
0.196,3,maze,10000,0
0.3022,4,maze,10000,0
0.4013,5,maze,10000,0
0.5234,6,maze,10000,0
0.6312,7,maze,10000,0
0.7012,8,maze,10000,0
0.7903,9,maze,10000,0
0.8408,10,maze,10000,0
0.0356,1,maze,10000,0
0.0823,2,maze,10000,0
0.1863,3,maze,10000,0
0.2879,4,maze,10000,0
0.3365,5,maze,10000,0
0.4845,6,maze,10000,0
0.5958,7,maze,10000,0
0.6826,8,maze,10000,0
0.7648,9,maze,10000,0
0.8096,10,maze,10000,0
0.0226,1,maze,10000,0
0.0938,2,maze,10000,0
0.1784,3,maze,10000,0
0.3032,4,maze,10000,0
0.4222,5,maze,10000,0
0.5012,6,maze,10000,0
0.6092,7,maze,10000,0
0.7059,8,maze,10000,0
0.7719,9,maze,10000,0
0.8442,10,maze,10000,0
0.0356,1,maze,10000,0
0.0935,2,maze,10000,0
0.1847,3,maze,10000,0
0.2837,4,maze,10000,0
0.4213,5,maze,10000,0
0.5454,6,maze,10000,0
0.6504,7,maze,10000,0
0.7126,8,maze,10000,0
0.7831,9,maze,10000,0
0.8494,10,maze,10000,0
0.0356,1,maze,10000,0
0.1055,2,maze,10000,0
0.2095,3,maze,10000,0
0.302,4,maze,10000,0
0.3916,5,maze,10000,0
0.5097,6,maze,10000,0
0.583,7,maze,10000,0
0.7022,8,maze,10000,0
0.8053,9,maze,10000,0
0.8825,10,maze,10000,0
0.0356,1,maze,10000,0
0.104,2,maze,10000,0
0.1917,3,maze,10000,0
0.3174,4,maze,10000,0
0.437,5,maze,10000,0
0.5138,6,maze,10000,0
0.5918,7,maze,10000,0
0.6842,8,maze,10000,0
0.7704,9,maze,10000,0
0.8404,10,maze,10000,0
0.0356,1,maze,10000,0
0.0935,2,maze,10000,0
0.1818,3,maze,10000,0
0.2731,4,maze,10000,0
0.3439,5,maze,10000,0
0.4471,6,maze,10000,0
0.5572,7,maze,10000,0
0.6878,8,maze,10000,0
0.7802,9,maze,10000,0
0.8201,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.2001,3,maze,10000,0
0.3233,4,maze,10000,0
0.4002,5,maze,10000,0
0.5277,6,maze,10000,0
0.5986,7,maze,10000,0
0.662,8,maze,10000,0
0.7714,9,maze,10000,0
0.8193,10,maze,10000,0
0.0356,1,maze,10000,0
0.1046,2,maze,10000,0
0.2114,3,maze,10000,0
0.3109,4,maze,10000,0
0.4172,5,maze,10000,0
0.4995,6,maze,10000,0
0.6075,7,maze,10000,0
0.6656,8,maze,10000,0
0.7375,9,maze,10000,0
0.7962,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.1861,3,maze,10000,0
0.3021,4,maze,10000,0
0.3853,5,maze,10000,0
0.5253,6,maze,10000,0
0.5807,7,maze,10000,0
0.6845,8,maze,10000,0
0.7875,9,maze,10000,0
0.8228,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.201,3,maze,10000,0
0.3027,4,maze,10000,0
0.4509,5,maze,10000,0
0.5427,6,maze,10000,0
0.6243,7,maze,10000,0
0.7289,8,maze,10000,0
0.8159,9,maze,10000,0
0.8633,10,maze,10000,0
0.0356,1,maze,10000,0
0.0935,2,maze,10000,0
0.1892,3,maze,10000,0
0.2716,4,maze,10000,0
0.3734,5,maze,10000,0
0.5163,6,maze,10000,0
0.569,7,maze,10000,0
0.6321,8,maze,10000,0
0.7283,9,maze,10000,0
0.811,10,maze,10000,0
0.0356,1,maze,10000,0
0.1068,2,maze,10000,0
0.1979,3,maze,10000,0
0.2985,4,maze,10000,0
0.4308,5,maze,10000,0
0.5205,6,maze,10000,0
0.6091,7,maze,10000,0
0.6971,8,maze,10000,0
0.7563,9,maze,10000,0
0.8168,10,maze,10000,0
0.0224,1,maze,10000,0
0.0908,2,maze,10000,0
0.169,3,maze,10000,0
0.2923,4,maze,10000,0
0.4362,5,maze,10000,0
0.5129,6,maze,10000,0
0.6077,7,maze,10000,0
0.7021,8,maze,10000,0
0.7542,9,maze,10000,0
0.818,10,maze,10000,0
0.0356,1,maze,10000,0
0.0869,2,maze,10000,0
0.1901,3,maze,10000,0
0.2834,4,maze,10000,0
0.3696,5,maze,10000,0
0.4843,6,maze,10000,0
0.5752,7,maze,10000,0
0.6159,8,maze,10000,0
0.7452,9,maze,10000,0
0.8001,10,maze,10000,0
0.0356,1,maze,10000,0
0.0802,2,maze,10000,0
