ratioexplored,guard_number,map_type,map_size,map_density,moves
0.254,7,maze,10000,0.7607,200
0.398,7,maze,10000,0.7607,250
0.4911,7,maze,10000,0.7607,300
0.5903,7,maze,10000,0.7607,350
0.6655,7,maze,10000,0.7607,400
0.75,7,maze,10000,0.7607,450
0.0679,8,maze,10000,0.7613,100
0.17,8,maze,10000,0.7613,150
0.2675,8,maze,10000,0.7613,200
0.4061,8,maze,10000,0.7613,250
0.5222,8,maze,10000,0.7613,300
0.626,8,maze,10000,0.7613,350
0.695,8,maze,10000,0.7613,400
0.7744,8,maze,10000,0.7613,450
0.069,9,maze,10000,0.7605,100
0.1494,9,maze,10000,0.7605,150
0.2575,9,maze,10000,0.7605,200
0.3782,9,maze,10000,0.7605,250
0.4496,9,maze,10000,0.7605,300
0.5705,9,maze,10000,0.7605,350
0.6696,9,maze,10000,0.7605,400
0.7718,9,maze,10000,0.7605,450
0.0718,10,maze,10000,0.7611,100
0.1805,10,maze,10000,0.7611,150
0.2833,10,maze,10000,0.7611,200
0.4202,10,maze,10000,0.7611,250
0.541,10,maze,10000,0.7611,300
0.6336,10,maze,10000,0.7611,350
0.7221,10,maze,10000,0.7611,400
0.7818,10,maze,10000,0.7611,450
0.0852,11,maze,10000,0.7606,100
0.1758,11,maze,10000,0.7606,150
0.2736,11,maze,10000,0.7606,200
0.3771,11,maze,10000,0.7606,250
0.4805,11,maze,10000,0.7606,300
0.574,11,maze,10000,0.7606,350
0.6889,11,maze,10000,0.7606,400
0.7861,11,maze,10000,0.7606,450
0.0676,12,maze,10000,0.7614,100
0.1725,12,maze,10000,0.7614,150
0.2681,12,maze,10000,0.7614,200
0.3639,12,maze,10000,0.7614,250
0.4618,12,maze,10000,0.7614,300
0.5314,12,maze,10000,0.7614,350
0.6354,12,maze,10000,0.7614,400
0.7287,12,maze,10000,0.7614,450
0.0896,13,maze,10000,0.7617,100
0.1909,13,maze,10000,0.7617,150
0.314,13,maze,10000,0.7617,200
0.4494,13,maze,10000,0.7617,250
0.5612,13,maze,10000,0.7617,300
0.6932,13,maze,10000,0.7617,350
0.767,13,maze,10000,0.7617,400
0.8314,13,maze,10000,0.7617,450
0.08,14,maze,10000,0.7614,100
0.1637,14,maze,10000,0.7614,150
0.2625,14,maze,10000,0.7614,200
0.405,14,maze,10000,0.7614,250
0.5153,14,maze,10000,0.7614,300
0.5971,14,maze,10000,0.7614,350
0.6742,14,maze,10000,0.7614,400
0.7875,14,maze,10000,0.7614,450
0.0668,15,maze,10000,0.7607,100
0.1825,15,maze,10000,0.7607,150
0.2907,15,maze,10000,0.7607,200
0.4093,15,maze,10000,0.7607,250
0.4925,15,maze,10000,0.7607,300
0.5983,15,maze,10000,0.7607,350
0.6637,15,maze,10000,0.7607,400
0.7383,15,maze,10000,0.7607,450
0.0674,16,maze,10000,0.7612,100
0.1429,16,maze,10000,0.7612,150
0.245,16,maze,10000,0.7612,200
0.3448,16,maze,10000,0.7612,250
0.4557,16,maze,10000,0.7612,300
0.589,16,maze,10000,0.7612,350
0.6952,16,maze,10000,0.7612,400
0.784,16,maze,10000,0.7612,450
0.0665,17,maze,10000,0.7606,100
0.1594,17,maze,10000,0.7606,150
0.2845,17,maze,10000,0.7606,200
0.4,17,maze,10000,0.7606,250
0.5006,17,maze,10000,0.7606,300
0.6123,17,maze,10000,0.7606,350
0.664,17,maze,10000,0.7606,400
0.7437,17,maze,10000,0.7606,450
0.0562,18,maze,10000,0.7596,100
0.1602,18,maze,10000,0.7596,150
0.2905,18,maze,10000,0.7596,200
0.3779,18,maze,10000,0.7596,250
0.5048,18,maze,10000,0.7596,300
0.5808,18,maze,10000,0.7596,350
0.6801,18,maze,10000,0.7596,400
0.7547,18,maze,10000,0.7596,450
0.0692,19,maze,10000,0.761,100
0.1637,19,maze,10000,0.761,150
0.2628,19,maze,10000,0.761,200
0.3736,19,maze,10000,0.761,250
0.4908,19,maze,10000,0.761,300
0.6135,19,maze,10000,0.761,350
0.7105,19,maze,10000,0.761,400
0.793,19,maze,10000,0.761,450
